ESOI	genotype	subset	invdl_iel	invdl_c4	invdl_c8	invdl_reg	overlapping_clones	clones
93_g8a	wt	g8a	89.7388313748583	4.00454527190696	4.91628098565466	1.34034236758012	467	2475
99_g8a	wt	g8a	83.3304531988101	7.20355680199952	5.81932331126363	3.64666668792671	727	3792
104_g8a	zap	g8a	68.4323740947045	11.8540804572833	8.66403914932575	11.0495062986865	453	4428
105_g8a	zap	g8a	73.5566320600461	11.3524715360167	9.80352181001735	5.28737459391976	503	4050
106_g8a	zap	g8a	65.5494316116537	15.5507366491745	10.4398022137496	8.46002952542221	157	1551
103_s_4	wt	s_4	1.23422410658613	81.1280541448287	6.14803712942935	11.4896846191558	2144	7094
107_s_4	wt	s_4	1.48829793305816	82.54797389579	5.7674957920313	10.1962323791206	1625	5949
92_s_4	wt	s_4	1.48843728270471	78.0760940256082	5.20348383930123	15.2319848523859	1129	3761
93_s_4	wt	s_4	3.36507222970087	73.2425172065934	6.2564874921253	17.1359230715805	527	1717
97_s_4	wt	s_4	1.46891640885192	83.9000831881171	4.65850058524254	9.97249981778848	1374	4820
99_s_4	wt	s_4	1.49983373942699	80.4740486128365	5.57580163200568	12.4503160157308	1874	6160
104_s_4	zap	s_4	69.9324272506875	14.0076076948372	9.57322019264843	6.48674486182687	185	1656
105_s_4	zap	s_4	69.0658455777267	16.2911139570697	11.1609349341448	3.4821055310588	1453	11127
106_s_4	zap	s_4	84.6025792113137	11.7462549631294	0.600559645406262	3.0506061801506	40	526
32_s_4	zap	s_4	66.3969067024329	16.230995171559	14.5757945209852	2.79630360502293	3327	27446
33_s_4	zap	s_4	69.4640061179769	13.9717025767194	14.1587857976969	2.40550550760688	2121	16898
34_s_4	zap	s_4	68.1727934969032	13.2915477461224	16.1681549516912	2.36750380528326	1178	11095
35_s_4	zap	s_4	68.2980134548328	12.8415662013739	16.6995692687308	2.16085107506242	959	9994
103_s_8	wt	s_8	1.90498390000975	7.88934259234266	88.9787848734811	1.22688863416651	1110	3416
107_s_8	wt	s_8	1.17765812298985	10.010965994706	87.4182659983915	1.39310988391263	1631	5162
92_s_8	wt	s_8	1.82183075042463	6.36533594539667	90.8222031672957	0.990630136883018	1148	3339
93_s_8	wt	s_8	2.03494895204308	4.80810590109854	92.4709739242063	0.685971222652041	829	2784
97_s_8	wt	s_8	1.22443227838137	21.5457538240406	54.502835812241	22.726978085337	542	2822
99_s_8	wt	s_8	1.06079972165291	7.45005881738493	90.7747060713483	0.714435389613836	684	2517
104_s_8	zap	s_8	65.7644439007419	16.6235390611224	14.8359242997018	2.77609273843382	2176	15408
105_s_8	zap	s_8	68.9846556372113	14.4358971185646	14.2167259010219	2.3627213432022	1556	12248
32_s_8	zap	s_8	27.4423799162896	44.5328319066018	17.9917972510673	10.0329909260413	396	6869
33_s_8	zap	s_8	33.4408346362505	38.3825658160885	15.0959946077536	13.0806049399074	374	6586
